name: 15be5c49-5377-4757-a408-8150fac602eb num_items: 20002
token, class_id, token_value, token_tf, token_df
немой, @default_class, 6.835287058493122e-05, 191.0, 166.0
барселона, @default_class, 5.8690424339147285e-05, 164.0, 140.0
спустить, @default_class, 3.829192428383976e-05, 107.0, 106.0
блестящий, @default_class, 2.397718526481185e-05, 67.0, 54.0
помощник, @default_class, 0.0001470839197281748, 411.0, 301.0
виктория, @default_class, 6.7637134634424e-05, 189.0, 93.0
ставиться, @default_class, 2.7198000680073164e-05, 76.0, 70.0
князь, @default_class, 0.0004476934263948351, 1251.0, 376.0
ответственность, @default_class, 9.054071415448561e-05, 253.0, 165.0
многий, @default_class, 0.00042729490087367594, 1194.0, 971.0
граничит######департамент, @default_class, 1.9324896129546687e-05, 54.0, 54.0
де, @default_class, 0.000515688443556428, 1441.0, 507.0
быт, @default_class, 3.220815779059194e-05, 90.0, 79.0
чешский, @default_class, 3.0060948120080866e-05, 84.0, 66.0
сибирь, @default_class, 0.00010843413474503905, 303.0, 216.0
лечение, @default_class, 0.00011523363355081528, 322.0, 177.0
белокалитвинский, @default_class, 3.93655282096006e-05, 110.0, 70.0
последующий, @default_class, 0.00021794188069179654, 609.0, 513.0
массовый, @default_class, 0.0001495890028309077, 418.0, 323.0
устройство, @default_class, 0.00023511955805588514, 657.0, 361.0
подвижный, @default_class, 2.3261447495315224e-05, 65.0, 55.0
антон, @default_class, 3.077668588957749e-05, 86.0, 66.0
ул.ленин, @default_class, 2.5408658984815702e-05, 71.0, 71.0
ул.центральный, @default_class, 2.6840132704819553e-05, 75.0, 75.0
строение, @default_class, 9.30457899812609e-05, 260.0, 189.0
4141, @default_class, 3.686044874484651e-05, 103.0, 102.0
области.############население, @default_class, 0.00011129708582302555, 311.0, 311.0
шанхай, @default_class, 2.8987342375330627e-05, 81.0, 50.0
народичский, @default_class, 4.8312238504877314e-05, 135.0, 62.0
вроде, @default_class, 2.7555868655326776e-05, 77.0, 67.0
р-н, @default_class, 0.0004985107225365937, 1393.0, 1389.0
малинский, @default_class, 7.980466034496203e-05, 223.0, 99.0
ясно, @default_class, 3.6144712794339284e-05, 101.0, 93.0
продаваться, @default_class, 4.5807159040123224e-05, 128.0, 75.0
пятно, @default_class, 6.012189624016173e-05, 168.0, 99.0
варшава, @default_class, 4.294421160011552e-05, 120.0, 80.0
разгромить, @default_class, 3.435536928009242e-05, 96.0, 81.0
объединиться, @default_class, 3.3639633329585195e-05, 94.0, 81.0
явление, @default_class, 8.230974344769493e-05, 230.0, 165.0
поддержание, @default_class, 2.6124394935322925e-05, 73.0, 61.0
приводить, @default_class, 0.00015030473878141493, 420.0, 335.0
new, @default_class, 5.403813338489272e-05, 151.0, 113.0
заканчивать, @default_class, 1.860915836005006e-05, 52.0, 51.0
сражаться, @default_class, 9.125645010499284e-05, 255.0, 204.0
закрыть, @default_class, 2.5766526960069314e-05, 72.0, 67.0
нюнорск, @default_class, 3.93655282096006e-05, 110.0, 110.0
вокал, @default_class, 3.6502580769592896e-05, 102.0, 70.0
резерв, @default_class, 7.085795368766412e-05, 198.0, 154.0
как-то, @default_class, 2.004063208005391e-05, 56.0, 54.0
публицист, @default_class, 2.147210580005776e-05, 60.0, 57.0
поручение, @default_class, 3.542897684383206e-05, 99.0, 83.0
единица, @default_class, 0.0001860915799625218, 520.0, 406.0
просьба, @default_class, 0.00010342397581553087, 289.0, 244.0
созыв, @default_class, 5.3322397434385493e-05, 149.0, 96.0
1930, @default_class, 0.00017929208115674555, 501.0, 395.0
впадение, @default_class, 2.9703080144827254e-05, 83.0, 80.0
минск, @default_class, 5.153305392013863e-05, 144.0, 82.0
ставить, @default_class, 6.262697570491582e-05, 175.0, 151.0
добиться, @default_class, 0.00014207376807462424, 397.0, 325.0
управляемый, @default_class, 3.256602940382436e-05, 91.0, 64.0
брат, @default_class, 0.0006795921362936497, 1899.0, 942.0
спектакль, @default_class, 0.00012310674355830997, 344.0, 159.0
семён, @default_class, 4.544929106486961e-05, 127.0, 85.0
биологический, @default_class, 5.153305392013863e-05, 144.0, 102.0
совхоз, @default_class, 5.6185344874393195e-05, 157.0, 84.0
говориться, @default_class, 6.262697570491582e-05, 175.0, 151.0
насекомое, @default_class, 7.228942558867857e-05, 202.0, 136.0
устраивать, @default_class, 3.149242184008472e-05, 88.0, 80.0
бесплатный, @default_class, 2.5408658984815702e-05, 71.0, 63.0
солнечный, @default_class, 6.334271165542305e-05, 177.0, 109.0
осудить, @default_class, 7.264729356393218e-05, 203.0, 159.0
идти, @default_class, 0.00037003596662543714, 1034.0, 729.0
днепр, @default_class, 7.443663344020024e-05, 208.0, 120.0
месяц, @default_class, 0.00038220349233597517, 1068.0, 773.0
поддержка, @default_class, 0.0004462619253899902, 1247.0, 743.0
вообще, @default_class, 7.121582166291773e-05, 199.0, 170.0
лишь, @default_class, 0.0006688560824841261, 1869.0, 1290.0
вкп(б, @default_class, 6.835287058493122e-05, 191.0, 135.0
старший, @default_class, 0.00047847008681856096, 1337.0, 875.0
ставка, @default_class, 5.403813338489272e-05, 151.0, 92.0
эпоха, @default_class, 0.00019324895401950926, 540.0, 399.0
коростышевский, @default_class, 5.189092189539224e-05, 145.0, 63.0
кубок, @default_class, 0.0005461072432808578, 1526.0, 615.0
стан, @default_class, 2.6840132704819553e-05, 75.0, 57.0
практика, @default_class, 0.00014994687808211893, 419.0, 321.0
«the, @default_class, 9.59087410592474e-05, 268.0, 164.0
флорида, @default_class, 3.041881791432388e-05, 85.0, 63.0
творческий, @default_class, 0.00011093921784777194, 310.0, 217.0
просто, @default_class, 0.00016569308354519308, 463.0, 373.0
настоящий, @default_class, 0.0006509626982733607, 1819.0, 1457.0
2,5, @default_class, 7.729958451818675e-05, 216.0, 198.0
вести, @default_class, 0.00038184563163667917, 1067.0, 787.0
красивый, @default_class, 5.010158201912418e-05, 140.0, 133.0
1947, @default_class, 0.00015137834998313338, 423.0, 333.0
продлить, @default_class, 3.185028981533833e-05, 89.0, 58.0
владислав, @default_class, 3.1134553864831105e-05, 87.0, 50.0
развивать, @default_class, 4.652289499063045e-05, 130.0, 103.0
информационный, @default_class, 4.8312238504877314e-05, 135.0, 101.0
грамота, @default_class, 6.298484368016943e-05, 176.0, 136.0
власть, @default_class, 0.0007157368818297982, 2000.0, 990.0
совместно, @default_class, 0.0001975433697225526, 552.0, 431.0
прибрежный, @default_class, 3.3997501304838806e-05, 95.0, 83.0
материал, @default_class, 0.0003682466340251267, 1029.0, 630.0
урал, @default_class, 3.220815779059194e-05, 90.0, 69.0
синьхайский, @default_class, 1.9324896129546687e-05, 54.0, 54.0
изобразительный, @default_class, 2.8987342375330627e-05, 81.0, 59.0
прекращение, @default_class, 3.3997501304838806e-05, 95.0, 79.0
звать, @default_class, 2.9345212169573642e-05, 82.0, 75.0
нападение, @default_class, 0.00011630724475253373, 325.0, 240.0
соотношение, @default_class, 4.043913213536143e-05, 113.0, 81.0
1943, @default_class, 0.0003428379714023322, 958.0, 532.0
родственник, @default_class, 9.698234498500824e-05, 271.0, 211.0
деление, @default_class, 0.0001467260590288788, 410.0, 295.0
просить, @default_class, 9.376153320772573e-05, 262.0, 204.0
корона, @default_class, 6.0479764215415344e-05, 169.0, 126.0
захват, @default_class, 8.517268724972382e-05, 238.0, 183.0
длинный, @default_class, 0.000180365692358464, 504.0, 383.0
ленин, @default_class, 0.0001828707754611969, 511.0, 404.0
археология, @default_class, 4.008126416010782e-05, 112.0, 99.0
методика, @default_class, 4.1154871723847464e-05, 115.0, 81.0
услышать, @default_class, 2.648226472956594e-05, 74.0, 72.0
процесс, @default_class, 0.00044447259278967977, 1242.0, 733.0
мебель, @default_class, 2.4692921215319075e-05, 69.0, 51.0
фанат, @default_class, 2.505079100956209e-05, 70.0, 52.0
воскресение, @default_class, 2.3261447495315224e-05, 65.0, 52.0
судно, @default_class, 0.00020470074377954006, 572.0, 246.0
тяжесть, @default_class, 3.0060948120080866e-05, 84.0, 60.0
таков, @default_class, 2.111423782480415e-05, 59.0, 57.0
богослужение, @default_class, 2.5766526960069314e-05, 72.0, 53.0
успешный, @default_class, 0.0001749976654537022, 489.0, 407.0
госсовет, @default_class, 4.938584243063815e-05, 138.0, 88.0
трижды, @default_class, 5.940616028965451e-05, 166.0, 154.0
последствие, @default_class, 5.3680265409639105e-05, 150.0, 115.0
передвижение, @default_class, 2.361931728955824e-05, 66.0, 54.0
армения, @default_class, 7.908892439445481e-05, 221.0, 107.0
последовательно, @default_class, 3.292389737907797e-05, 92.0, 89.0
исследовать, @default_class, 4.544929106486961e-05, 127.0, 95.0
2019, @default_class, 0.00015102047473192215, 422.0, 279.0
кавказ, @default_class, 0.0001155915015260689, 323.0, 232.0
ради, @default_class, 4.79543705296237e-05, 134.0, 117.0
неолит, @default_class, 3.220815779059194e-05, 90.0, 77.0
98, @default_class, 1.9324896129546687e-05, 54.0, 51.0
колено, @default_class, 2.004063208005391e-05, 56.0, 53.0
зао, @default_class, 2.7198000680073164e-05, 76.0, 52.0
посёлок, @default_class, 0.0006033661775290966, 1686.0, 724.0
конгресс, @default_class, 8.839350630296394e-05, 247.0, 124.0
финансирование, @default_class, 4.5091423089616e-05, 126.0, 102.0
аспект, @default_class, 3.6144712794339284e-05, 101.0, 78.0
«имя, @default_class, 3.435536928009242e-05, 96.0, 51.0
1907, @default_class, 8.123613224597648e-05, 227.0, 182.0
домой, @default_class, 6.942647451069206e-05, 194.0, 165.0
87, @default_class, 2.7198000680073164e-05, 76.0, 73.0
духовенство, @default_class, 3.077668588957749e-05, 86.0, 66.0
вечер, @default_class, 5.940616028965451e-05, 166.0, 127.0
1980, @default_class, 0.00022903579520061612, 640.0, 509.0
каролина, @default_class, 4.187060767435469e-05, 117.0, 61.0
тест, @default_class, 3.686044874484651e-05, 103.0, 58.0
призывать, @default_class, 2.004063208005391e-05, 56.0, 50.0
цска, @default_class, 3.686044874484651e-05, 103.0, 51.0
миф, @default_class, 2.147210580005776e-05, 60.0, 50.0
рейтинговый, @default_class, 2.4692921215319075e-05, 69.0, 64.0
играть, @default_class, 0.0006223332020454109, 1739.0, 1011.0
кавалерский, @default_class, 1.896702633530367e-05, 53.0, 53.0
готовность, @default_class, 2.1829973775311373e-05, 61.0, 50.0
отрасль, @default_class, 6.584779475815594e-05, 184.0, 126.0
разработка, @default_class, 0.0002673277340363711, 747.0, 454.0
борт, @default_class, 0.00011988592450506985, 335.0, 175.0
e, @default_class, 3.185028981533833e-05, 89.0, 60.0
радость, @default_class, 2.8987342375330627e-05, 81.0, 70.0
ван, @default_class, 0.0001324113254668191, 370.0, 155.0
собор, @default_class, 0.000322081585181877, 900.0, 303.0
индонезия, @default_class, 7.33630295144394e-05, 205.0, 55.0
назад, @default_class, 0.00012274886830709875, 343.0, 268.0
просвещение, @default_class, 3.077668588957749e-05, 86.0, 68.0
десятина, @default_class, 4.938584243063815e-05, 138.0, 61.0
3—4, @default_class, 2.147210580005776e-05, 60.0, 52.0
древность, @default_class, 2.004063208005391e-05, 56.0, 50.0
4145, @default_class, 2.6840132704819553e-05, 75.0, 75.0
изобразить, @default_class, 0.00011630724475253373, 325.0, 217.0
лежать, @default_class, 7.658384856767952e-05, 214.0, 193.0
фортепиано, @default_class, 3.1134553864831105e-05, 87.0, 66.0
кость, @default_class, 5.189092189539224e-05, 145.0, 94.0
юго-восточный, @default_class, 7.980466034496203e-05, 223.0, 196.0
1897, @default_class, 0.00010914987069554627, 305.0, 249.0
остаток, @default_class, 0.00011666511272778735, 326.0, 228.0
15-й, @default_class, 3.471323725534603e-05, 97.0, 77.0
2005, @default_class, 0.0004104750987607986, 1147.0, 837.0
кпсс, @default_class, 8.946711022872478e-05, 250.0, 153.0
разделение, @default_class, 5.761681677540764e-05, 161.0, 147.0
41, @default_class, 4.5807159040123224e-05, 128.0, 119.0
вятский, @default_class, 3.435536928009242e-05, 96.0, 85.0
можгинский, @default_class, 3.1134553864831105e-05, 87.0, 87.0
ижевск, @default_class, 6.334271165542305e-05, 177.0, 156.0
хор, @default_class, 5.0817317969631404e-05, 142.0, 90.0
минский, @default_class, 5.189092189539224e-05, 145.0, 85.0
разработчик, @default_class, 8.409908332396299e-05, 235.0, 133.0
девочка, @default_class, 7.228942558867857e-05, 202.0, 132.0
совместный, @default_class, 0.00013169558951631188, 368.0, 305.0
кисть, @default_class, 2.0756369849550538e-05, 58.0, 50.0
каталог, @default_class, 4.008126416010782e-05, 112.0, 80.0
мощный, @default_class, 0.00011702298070304096, 327.0, 256.0
треть, @default_class, 4.437568713910878e-05, 124.0, 111.0
внешний, @default_class, 0.00022653072664979845, 633.0, 443.0
сознание, @default_class, 4.723863457911648e-05, 132.0, 97.0
масса, @default_class, 0.00019646977307274938, 549.0, 326.0
поразить, @default_class, 2.9345212169573642e-05, 82.0, 63.0
спектр, @default_class, 3.471323725534603e-05, 97.0, 62.0
92, @default_class, 2.4335053240065463e-05, 68.0, 62.0
сталин, @default_class, 4.0797000110615045e-05, 114.0, 71.0
муниципальный, @default_class, 0.00022760432329960167, 636.0, 410.0
зафиксировать, @default_class, 1.9324896129546687e-05, 54.0, 52.0
бокс, @default_class, 3.3639633329585195e-05, 94.0, 75.0
поверхность, @default_class, 0.00019861698092427105, 555.0, 353.0
57, @default_class, 3.185028981533833e-05, 89.0, 84.0
торжественно, @default_class, 2.2545711544808e-05, 63.0, 57.0
1815, @default_class, 2.648226472956594e-05, 74.0, 59.0
взвод, @default_class, 4.79543705296237e-05, 134.0, 79.0
мужской, @default_class, 0.00021078450663480908, 589.0, 411.0
уральский, @default_class, 2.8271606424823403e-05, 79.0, 57.0
архипелаг, @default_class, 9.698234498500824e-05, 271.0, 146.0
стандарт, @default_class, 7.372089748969302e-05, 206.0, 133.0
ведущий, @default_class, 0.00023619316925760359, 660.0, 495.0
св, @default_class, 0.00019933271687477827, 557.0, 240.0
тайна, @default_class, 5.189092189539224e-05, 145.0, 107.0
когда-то, @default_class, 2.6840132704819553e-05, 75.0, 72.0
исчезновение, @default_class, 2.3261447495315224e-05, 65.0, 58.0
законодательство, @default_class, 7.193155761342496e-05, 201.0, 116.0
1828, @default_class, 2.397718526481185e-05, 67.0, 57.0
император, @default_class, 0.0003714674385264516, 1038.0, 398.0
цин, @default_class, 2.397718526481185e-05, 67.0, 54.0
подчёркивать, @default_class, 2.9703080144827254e-05, 83.0, 70.0
вероятно, @default_class, 0.00016175652854144573, 452.0, 348.0
сингл, @default_class, 0.0001717768464004621, 480.0, 203.0
пойти, @default_class, 9.30457899812609e-05, 260.0, 229.0
4140, @default_class, 2.147210580005776e-05, 60.0, 60.0
драма, @default_class, 7.085795368766412e-05, 198.0, 141.0
конфликт, @default_class, 0.00018752306641545147, 524.0, 306.0
проход, @default_class, 3.435536928009242e-05, 96.0, 71.0
встать, @default_class, 4.22284756496083e-05, 118.0, 112.0
символ, @default_class, 0.00021185811783652753, 592.0, 265.0
помешать, @default_class, 3.077668588957749e-05, 86.0, 81.0
прямо, @default_class, 7.515236939070746e-05, 210.0, 179.0
застройка, @default_class, 4.294421160011552e-05, 120.0, 75.0
ныне, @default_class, 0.00038184563163667917, 1067.0, 831.0
перенос, @default_class, 3.9007660234346986e-05, 109.0, 75.0
товарищеский, @default_class, 2.648226472956594e-05, 74.0, 60.0
9-й, @default_class, 5.224878987064585e-05, 146.0, 120.0
типичный, @default_class, 3.6502580769592896e-05, 102.0, 94.0
переводчик, @default_class, 4.187060767435469e-05, 117.0, 98.0
положение, @default_class, 0.0003278074727859348, 916.0, 612.0
поток, @default_class, 7.62259733164683e-05, 213.0, 122.0
самоубийство, @default_class, 3.3639633329585195e-05, 94.0, 79.0
разворачиваться, @default_class, 2.2545711544808e-05, 63.0, 62.0
1924, @default_class, 0.00018537584401201457, 518.0, 432.0
«динамо», @default_class, 8.338334737345576e-05, 233.0, 128.0
цвести, @default_class, 2.004063208005391e-05, 56.0, 53.0
взятие, @default_class, 6.0479764215415344e-05, 169.0, 125.0
голубой, @default_class, 5.439600136014633e-05, 152.0, 106.0
устье, @default_class, 9.447726915823296e-05, 264.0, 162.0
in, @default_class, 0.0001299062423640862, 363.0, 229.0
датский, @default_class, 4.258634362486191e-05, 119.0, 75.0
дворянин, @default_class, 5.403813338489272e-05, 151.0, 123.0
исполком, @default_class, 2.2545711544808e-05, 63.0, 50.0
ввести, @default_class, 0.00021364745043683797, 597.0, 438.0
сгореть, @default_class, 2.3261447495315224e-05, 65.0, 56.0
дубовый, @default_class, 5.3322397434385493e-05, 149.0, 69.0
юноша, @default_class, 5.439600136014633e-05, 152.0, 110.0
отто, @default_class, 2.9703080144827254e-05, 83.0, 61.0
32, @default_class, 9.769808093551546e-05, 273.0, 234.0
повествование, @default_class, 2.8629474400077015e-05, 80.0, 58.0
купол, @default_class, 4.043913213536143e-05, 113.0, 67.0
заменить, @default_class, 0.00020720582688227296, 579.0, 462.0
коллектив, @default_class, 0.0001431473792763427, 400.0, 240.0
основное, @default_class, 0.0003943710180465132, 1102.0, 889.0
мемориал, @default_class, 3.578684481908567e-05, 100.0, 64.0
продукция, @default_class, 0.00011272855772404, 315.0, 179.0
автобус, @default_class, 6.871073856018484e-05, 192.0, 88.0
салон, @default_class, 6.0479764215415344e-05, 169.0, 76.0
анна, @default_class, 0.0001882388023659587, 526.0, 268.0
м, @default_class, 0.001084699179045856, 3031.0, 1415.0
забрать, @default_class, 2.8987342375330627e-05, 81.0, 66.0
губа, @default_class, 3.9007660234346986e-05, 109.0, 76.0
international, @default_class, 4.759650255437009e-05, 133.0, 92.0
лётчик, @default_class, 4.544929106486961e-05, 127.0, 72.0
принц, @default_class, 9.698234498500824e-05, 271.0, 119.0
компенсация, @default_class, 3.1134553864831105e-05, 87.0, 65.0
христианство, @default_class, 4.974371404387057e-05, 139.0, 88.0
повстанец, @default_class, 4.1512739699101076e-05, 116.0, 64.0
алнашский, @default_class, 0.0001044975797412917, 292.0, 80.0
человечество, @default_class, 3.507110523059964e-05, 98.0, 63.0
ступень, @default_class, 5.224878987064585e-05, 146.0, 80.0
«о, @default_class, 0.00013921082427259535, 389.0, 279.0
творчество, @default_class, 0.00017070324975065887, 477.0, 327.0
подруга, @default_class, 5.0817317969631404e-05, 142.0, 107.0
атлантический, @default_class, 5.439600136014633e-05, 152.0, 89.0
выпускник, @default_class, 3.256602940382436e-05, 91.0, 77.0
цепь, @default_class, 4.437568713910878e-05, 124.0, 79.0
радиостанция, @default_class, 2.8629474400077015e-05, 80.0, 51.0
алтарь, @default_class, 3.435536928009242e-05, 96.0, 60.0
согласие, @default_class, 5.189092189539224e-05, 145.0, 122.0
эсминец, @default_class, 7.658384856767952e-05, 214.0, 79.0
приступить, @default_class, 5.725894880015403e-05, 160.0, 146.0
кора, @default_class, 3.3997501304838806e-05, 95.0, 61.0
футбол, @default_class, 0.0001778606092557311, 497.0, 281.0
пропаганда, @default_class, 2.2903579520061612e-05, 64.0, 56.0
индустрия, @default_class, 2.791373844956979e-05, 78.0, 56.0
сила, @default_class, 0.0009651711443439126, 2697.0, 1267.0
указать, @default_class, 0.00010736053081927821, 300.0, 253.0
повлиять, @default_class, 2.791373844956979e-05, 78.0, 75.0
удмуртия, @default_class, 8.910924225347117e-05, 249.0, 232.0
отношение, @default_class, 0.0005840412923134863, 1632.0, 1020.0
1849, @default_class, 3.793405267060734e-05, 106.0, 82.0
доброволец, @default_class, 4.043913213536143e-05, 113.0, 92.0
сплошной, @default_class, 2.1829973775311373e-05, 61.0, 58.0
тон, @default_class, 3.9007660234346986e-05, 109.0, 67.0
икона, @default_class, 0.0001381372130708769, 386.0, 120.0
концентрация, @default_class, 4.187060767435469e-05, 117.0, 65.0
каменистый, @default_class, 2.0756369849550538e-05, 58.0, 56.0
«длить, @default_class, 2.2903579520061612e-05, 64.0, 60.0
обычно, @default_class, 0.0003582263016141951, 1001.0, 694.0
18-й, @default_class, 2.147210580005776e-05, 60.0, 50.0
яркий, @default_class, 8.839350630296394e-05, 247.0, 213.0
1950, @default_class, 0.00018108142830897123, 506.0, 426.0
мощность, @default_class, 0.00016032505664043128, 448.0, 226.0
отпуск, @default_class, 2.147210580005776e-05, 60.0, 56.0
1841, @default_class, 3.328176535433158e-05, 93.0, 76.0
прошедшее, @default_class, 3.6502580769592896e-05, 102.0, 95.0
проработать, @default_class, 2.397718526481185e-05, 67.0, 61.0
монография, @default_class, 4.22284756496083e-05, 118.0, 100.0
колокольня, @default_class, 3.9007660234346986e-05, 109.0, 55.0
империя, @default_class, 0.0004408938984852284, 1232.0, 661.0
«этый, @default_class, 2.5766526960069314e-05, 72.0, 63.0
народ, @default_class, 0.00038506643613800406, 1076.0, 627.0
важно, @default_class, 2.7198000680073164e-05, 76.0, 70.0
сержант, @default_class, 5.296452945913188e-05, 148.0, 79.0
перечислить, @default_class, 2.218784356955439e-05, 62.0, 53.0
профессор, @default_class, 0.0003639521892182529, 1017.0, 568.0
десятка, @default_class, 7.121582166291773e-05, 199.0, 154.0
филиал, @default_class, 7.300516153918579e-05, 204.0, 151.0
юар, @default_class, 3.3997501304838806e-05, 95.0, 57.0
опасаться, @default_class, 3.328176535433158e-05, 93.0, 83.0
основание, @default_class, 0.00032852322328835726, 918.0, 696.0
фунт, @default_class, 4.5091423089616e-05, 126.0, 82.0
свободный, @default_class, 0.00022223629639483988, 621.0, 476.0
гранат, @default_class, 3.793405267060734e-05, 106.0, 58.0
лос-анджелес, @default_class, 9.805594891076908e-05, 274.0, 225.0
сборная, @default_class, 0.0009716128115542233, 2715.0, 1380.0
ничто, @default_class, 2.5766526960069314e-05, 72.0, 67.0
расширение, @default_class, 9.555087308399379e-05, 267.0, 216.0
атланта, @default_class, 4.8312238504877314e-05, 135.0, 132.0
граничить, @default_class, 2.1829973775311373e-05, 61.0, 60.0
философский, @default_class, 3.6144712794339284e-05, 101.0, 69.0
1848, @default_class, 4.8670106480130926e-05, 136.0, 106.0
купить, @default_class, 6.370057963067666e-05, 178.0, 150.0
достигнуть, @default_class, 0.0003145663649775088, 879.0, 603.0
1916, @default_class, 0.00010592905891826376, 296.0, 225.0
счастие, @default_class, 3.3639633329585195e-05, 94.0, 82.0
iv, @default_class, 0.00019503830117173493, 545.0, 282.0
военнослужащий, @default_class, 4.0797000110615045e-05, 114.0, 86.0
иоанн, @default_class, 0.00011272855772404, 315.0, 183.0
учёный, @default_class, 0.0002955993404611945, 826.0, 496.0
вызов, @default_class, 3.149242184008472e-05, 88.0, 71.0
любить, @default_class, 0.00010592905891826376, 296.0, 209.0
трудность, @default_class, 4.473355511436239e-05, 125.0, 114.0
гостиница, @default_class, 5.725894880015403e-05, 160.0, 91.0
принести, @default_class, 0.0001406422961736098, 393.0, 320.0
имение, @default_class, 9.089858212973922e-05, 254.0, 145.0
армия, @default_class, 0.0012568339006975293, 3512.0, 1111.0
роды, @default_class, 0.00011594936950132251, 324.0, 223.0
пригородный, @default_class, 4.759650255437009e-05, 133.0, 80.0
патрик, @default_class, 4.187060767435469e-05, 117.0, 54.0
философия, @default_class, 0.00010163463593926281, 284.0, 178.0
эффективный, @default_class, 4.8312238504877314e-05, 135.0, 112.0
улучшение, @default_class, 5.546960892388597e-05, 155.0, 111.0
безуспешно, @default_class, 2.004063208005391e-05, 56.0, 52.0
нефтяной, @default_class, 4.294421160011552e-05, 120.0, 65.0
командующий, @default_class, 0.0002036271325778216, 569.0, 291.0
86, @default_class, 2.7555868655326776e-05, 77.0, 74.0
предоставление, @default_class, 3.829192428383976e-05, 107.0, 88.0
труппа, @default_class, 2.8271606424823403e-05, 79.0, 58.0
61, @default_class, 3.077668588957749e-05, 86.0, 78.0
совещание, @default_class, 3.3639633329585195e-05, 94.0, 77.0
исландия, @default_class, 2.505079100956209e-05, 70.0, 52.0
внизу, @default_class, 2.8271606424823403e-05, 79.0, 65.0
рукопись, @default_class, 5.6185344874393195e-05, 157.0, 101.0
сняться, @default_class, 9.089858212973922e-05, 254.0, 170.0
обусловить, @default_class, 3.721831672010012e-05, 104.0, 91.0
аппарат, @default_class, 0.00013670574116986245, 382.0, 177.0
отказываться, @default_class, 4.22284756496083e-05, 118.0, 104.0
героизм, @default_class, 3.686044874484651e-05, 103.0, 94.0
дмитрий, @default_class, 0.00016676669474691153, 466.0, 261.0
вотский, @default_class, 2.6840132704819553e-05, 75.0, 72.0
прибывать, @default_class, 2.397718526481185e-05, 67.0, 53.0
23, @default_class, 0.0003814877418335527, 1066.0, 850.0
гражданский, @default_class, 0.00032100797398015857, 897.0, 592.0
заново, @default_class, 3.292389737907797e-05, 92.0, 84.0
разрабатывать, @default_class, 2.4692921215319075e-05, 69.0, 59.0
павел, @default_class, 0.0002025535359280184, 566.0, 333.0
лишить, @default_class, 5.260666148387827e-05, 147.0, 133.0
